p,t,seed,efficient_eig,naive_eig,absolute_error,efficient_peak_bytes_model,naive_peak_bytes_model
3,4,260602247,1.4325860148760905,1.4325860148707612,5.3292925628056764e-12,4384,1768
3,4,260602248,0.6155433545911533,0.615543354609736,1.8582690941570945e-11,4384,1768
3,4,260602249,5.903163623998739,5.903163624073172,7.44329042845493e-11,4384,1768
4,5,260602247,1.240719274728564,1.2407192747285523,1.176836406102666e-14,7600,5768
4,5,260602248,0.5726513707001863,0.5726513707001821,4.218847493575595e-15,7600,5768
4,5,260602249,0.7462627111020111,0.7462627111020002,1.099120794378905e-14,7600,5768
5,6,260602247,0.4497171569420604,0.44971715694206615,5.773159728050814e-15,12048,20048
5,6,260602248,0.9158103909314327,0.9158103909314201,1.2545520178264269e-14,12048,20048
5,6,260602249,0.47557762816530064,0.47557762816530236,1.7208456881689926e-15,12048,20048
6,7,260602247,0.8735811728951122,0.8735811728951166,4.440892098500626e-15,17920,73544
6,7,260602248,0.6491609733162681,0.6491609733162722,4.107825191113079e-15,17920,73544
6,7,260602249,1.3554711874885066,1.355471187488548,4.1300296516055823e-14,17920,73544
7,8,260602247,0.5668683139662937,0.5668683139662924,1.2212453270876722e-15,25408,279696
7,8,260602248,0.4903926079696688,0.49039260796966744,1.3877787807814457e-15,25408,279696
7,8,260602249,0.5558640222652801,0.5558640222652773,2.7755575615628914e-15,25408,279696
8,9,260602247,0.47036988120071743,0.470369881200714,3.4416913763379853e-15,34704,1087112
8,9,260602248,0.6016659735281894,0.6016659735281884,9.992007221626409e-16,34704,1087112
8,9,260602249,0.7587856658815333,0.7587856658815433,9.992007221626409e-15,34704,1087112
9,10,260602247,0.569130229730918,0.56913022973092,1.9984014443252818e-15,46000,4278832
9,10,260602248,0.6290195022678071,0.6290195022678056,1.5543122344752192e-15,46000,4278832
9,10,260602249,0.4048365943959086,0.4048365943959098,1.2212453270876722e-15,46000,4278832
