route,p,t,seconds_median,seconds_mad,eig,operation_count,peak_bytes_model
efficient_esp,8,9,0.003585541999200359,0.00013704199955100194,0.47036988120071743,259792,34704
efficient_esp,12,13,0.006376250001267181,5.075000262877438e-05,0.46221782096326397,1277208,93808
efficient_esp,16,17,0.07250700000076904,0.03404712499832385,0.4352486046432556,3976864,197200
efficient_esp,24,25,0.07817133299977286,0.005153583999344846,0.4163607142468493,19832688,586000
efficient_esp,32,33,0.18973629200081632,0.0,0.4791897310416227,62210368,1299408
efficient_esp,48,49,0.7479033330000675,0.0,0.472099086632482,312571872,4093264
efficient_esp,64,65,1.8776271249989804,0.0,0.439210604850879,984158848,9365200
efficient_esp,80,81,4.628432958001213,0.0,0.45862873929514897,2397294880,17901648
efficient_esp,101,102,11.103425249999418,0.0,0.4159271731618351,6078954064,35377680
naive_explicit,3,4,0.000310207999064005,0.00012674999925366137,1.4325860148707612,,1768
naive_explicit,4,5,0.00016954099919530563,7.415997970383614e-06,1.2407192747285523,,5768
naive_explicit,5,6,0.00022266700034379028,4.37600101577118e-06,0.44971715694206615,,20048
naive_explicit,6,7,0.0004935830002068542,1.541700112284161e-05,0.8735811728951166,,73544
naive_explicit,7,8,0.0015098339990800014,0.00013712499821849633,0.5668683139662924,,279696
naive_explicit,8,9,0.006409708999854047,0.002176332000090042,0.470369881200714,,1087112
naive_explicit,9,10,0.021533416998863686,0.0,0.56913022973092,,4278832
naive_explicit,10,11,0.16383966600005806,0.0,0.5992016234458983,,16962056
